EUR/USD,20090501 00:02:05.260,1.32451,1.32458
EUR/USD,20090501 00:02:05.295,1.32452,1.32458
EUR/USD,20090501 00:02:05.301,1.32452,1.32463
EUR/USD,20090501 00:02:05.387,1.32451,1.32463
EUR/USD,20090501 00:02:05.510,1.32451,1.32461
EUR/USD,20090501 00:02:05.532,1.3245,1.32461
EUR/USD,20090501 00:02:05.545,1.3245,1.32459
EUR/USD,20090501 00:02:05.567,1.3245,1.32458
EUR/USD,20090501 00:02:05.676,1.3245,1.32459
EUR/USD,20090501 00:02:05.797,1.3245,1.32458
EUR/USD,20090501 00:02:06.014,1.32452,1.32456
EUR/USD,20090501 00:02:06.015,1.32451,1.32458
EUR/USD,20090501 00:02:06.036,1.32452,1.32458
EUR/USD,20090501 00:02:06.066,1.32452,1.32463
EUR/USD,20090501 00:02:06.173,1.32452,1.32458
EUR/USD,20090501 00:02:06.280,1.3245,1.32458
EUR/USD,20090501 00:02:06.759,1.32452,1.32456
EUR/USD,20090501 00:02:06.760,1.32451,1.32458
EUR/USD,20090501 00:02:06.761,1.32451,1.32458
EUR/USD,20090501 00:02:06.774,1.32452,1.32458
EUR/USD,20090501 00:02:06.835,1.32452,1.32463
EUR/USD,20090501 00:02:06.858,1.32451,1.32463
EUR/USD,20090501 00:02:07.015,1.32451,1.32461
EUR/USD,20090501 00:02:07.017,1.32451,1.32463
EUR/USD,20090501 00:02:07.018,1.32451,1.32458
EUR/USD,20090501 00:02:07.035,1.3245,1.32458
EUR/USD,20090501 00:02:07.509,1.32452,1.32456
EUR/USD,20090501 00:02:07.510,1.32452,1.32459
EUR/USD,20090501 00:02:07.511,1.32451,1.32458
EUR/USD,20090501 00:02:07.512,1.32451,1.32459
EUR/USD,20090501 00:02:07.528,1.32451,1.32459
EUR/USD,20090501 00:02:07.539,1.32452,1.32459
EUR/USD,20090501 00:02:07.697,1.32452,1.32463
EUR/USD,20090501 00:02:07.759,1.32453,1.32461
EUR/USD,20090501 00:02:07.774,1.32456,1.32461
EUR/USD,20090501 00:02:07.777,1.32455,1.32461
EUR/USD,20090501 00:02:08.262,1.32455,1.3246
EUR/USD,20090501 00:02:08.287,1.32452,1.3246
EUR/USD,20090501 00:02:08.287,1.32452,1.3246
EUR/USD,20090501 00:02:08.513,1.32451,1.32461
EUR/USD,20090501 00:02:08.518,1.32451,1.32463
EUR/USD,20090501 00:02:08.531,1.32449,1.32463
EUR/USD,20090501 00:02:08.559,1.32448,1.32463
EUR/USD,20090501 00:02:08.602,1.32446,1.32463
EUR/USD,20090501 00:02:08.760,1.32446,1.32462
EUR/USD,20090501 00:02:08.835,1.32446,1.32461
EUR/USD,20090501 00:02:09.259,1.32446,1.32462
EUR/USD,20090501 00:02:09.260,1.3245,1.32456
EUR/USD,20090501 00:02:09.261,1.32448,1.32458
EUR/USD,20090501 00:02:11.758,1.32452,1.32459
EUR/USD,20090501 00:02:11.759,1.32451,1.3246
EUR/USD,20090501 00:02:11.777,1.32452,1.3246
EUR/USD,20090501 00:02:11.835,1.32451,1.3246
EUR/USD,20090501 00:02:12.028,1.32451,1.32459
EUR/USD,20090501 00:02:12.031,1.32451,1.32459
EUR/USD,20090501 00:02:12.102,1.32451,1.32458
EUR/USD,20090501 00:02:12.324,1.3245,1.32458
EUR/USD,20090501 00:02:12.538,1.32452,1.32458
EUR/USD,20090501 00:02:12.581,1.32452,1.32463
EUR/USD,20090501 00:02:12.771,1.3245,1.32461
EUR/USD,20090501 00:02:12.777,1.3245,1.32459
EUR/USD,20090501 00:02:12.821,1.3245,1.32458
EUR/USD,20090501 00:02:13.649,1.3245,1.32459
EUR/USD,20090501 00:02:14.014,1.32452,1.32457
EUR/USD,20090501 00:02:14.016,1.32451,1.32459
EUR/USD,20090501 00:02:14.029,1.32452,1.32459
EUR/USD,20090501 00:02:14.285,1.32451,1.32459
